transactId, softwareName, softwareId, date
'99749618','MSDN Library for Visual Studio 2005 - CD1','832017012','2008-04-26 16:19'
'99749618','MSDN Library for Visual Studio 2005 - CD2','832017013','2008-04-26 16:19'
'99749618','MSDN Library for Visual Studio 2005 - CD3','832017014','2008-04-26 16:19'
'99749618','Project Professional 2003','635651466','2008-04-26 16:19'
'99749618','SQL Server 2008 Enterprise (x86 and x64) - DVD','149258206','2009-12-04 10:02'
'99749618','Virtual PC 2007','212031266','2008-04-26 16:19'
'99749618','Visio Professional 2003','-1028479386','2008-04-26 16:19'
'99749618','Visual C# 2005 Express Edition','343262486','2008-04-26 16:19'
'99749618','Visual C++ 2005 Express Edition','336690434','2008-04-26 16:19'
'99749618','Visual Studio .NET 2003 Professional - Full Install','-68124807','2008-12-08 17:30'
'99749618','Visual Studio 2005 Professional Edition CD1','53593363','2008-04-26 16:19'
'99749618','Visual Studio 2005 Professional Edition CD2','53593364','2008-04-26 16:19'
'99749618','Visual Studio 2005 Team Suite - CD1','-266367184','2008-04-26 16:19'
'99749618','Visual Studio 2005 Team Suite - CD2','-266367183','2008-04-26 16:19'
'99749618','Visual Studio 2005 Team Suite - CD3','-266367182','2008-04-26 16:19'
'99749618','Visual Studio 2005 Tools for the Microsoft Office System','576971840','2008-04-26 16:19'
'99749618','Visual Studio 2008 Professional Edition (x86 and x64 WoW) - DVD','-363498825','2009-04-14 13:56'
'99749618','Visual Studio 2010 Professional Beta 1 (x86) - DVD','-902649899','2009-11-16 13:50'
'99749618','Windows 7 Professional (x86) - DVD (Polish)','818369156','2009-12-04 13:26'
'99749618','Windows Server 2003 Enterprise Edition (Polish)','743676536','2009-12-30 16:36'
'99749618','Windows XP Professional (Single User) ISO Image (Polish)','-717994646','2008-04-23 21:10'
'99749618','SQL Server 2008 Enterprise (x86 and x64) - DVD','149258206','2009-12-04 10:02'
'99749618','Visio Professional 2007 (Polish)','1031840846','2010-11-12 16:23'
'99749618','Visual Studio 2005 Professional Edition - DVD','466158650','2010-11-04 13:01'
'99749618','Visual Studio 2008 Express Edition with SP1','-834545950','2010-11-24 23:29'
'99749618','Visual Studio 2008 Professional Edition (x86 and x64 WoW) - DVD','-363498825','2009-04-14 13:56'
'99749618','Visual Studio 2010 Professional Beta 1 (x86) - DVD','-902649899','2009-11-16 13:50'
'99749618','Visual Studio 2010 Professional Language Pack (x86) - (Polish)','-290244202','2010-10-10 13:41'
'99749618','Visual Studio 2010 Ultimate (x86) - DVD (English)','114149812','2010-10-10 13:40'
'99749618','Windows 7 Professional (x86) - DVD (Polish)','818369156','2009-12-04 13:26'
'99749618','Windows Mobile 5.0 Developer Resource Kit','869078269','2010-11-17 13:52'
'99749618','Windows Server 2003 Enterprise Edition (Polish)','743676536','2009-12-30 16:36'
'99749618','Windows XP Professional with SP3 (Single User) ISO Image (Polish)','211870520','2010-10-19 09:45'
'99749618','XNA Game Studio 3.1 - (English)','-541751906','2010-10-10 13:42'
'-500934844','Project Professional 2003','635651466','2007-01-02 14:35'
